,number,copying,score,info_chosen,round,human,id,Contents,Origin,Network,condition,uid,u_network,u_origin,c_a_score_r1,t_score,c_copies,is_model_id,copied_successful,copied_prestigious,copied
1182,100,FALSE,1,NA,2,TRUE,1409,1871,2,1,b,1409,1,1,36,86,45,FALSE,NA,NA,0
1183,100,FALSE,1,NA,2,TRUE,1410,1871,8,1,b,1410,1,6,30,80,36,FALSE,NA,NA,0
1177,100,FALSE,0,NA,2,TRUE,1404,1571,7,1,b,1404,1,3,23,53,0,FALSE,NA,NA,0
1178,100,FALSE,1,NA,2,TRUE,1405,1871,6,1,b,1405,1,2,19,77,0,FALSE,NA,NA,0
1179,100,FALSE,1,NA,2,TRUE,1406,1871,4,1,b,1406,1,5,12,85,0,FALSE,NA,NA,0
1180,100,FALSE,1,NA,2,TRUE,1407,1871,11,1,b,1407,1,7,16,71,0,FALSE,NA,NA,0
1181,100,FALSE,1,NA,2,TRUE,1408,1871,5,1,b,1408,1,8,21,86,0,FALSE,NA,NA,0
1184,100,FALSE,1,NA,2,TRUE,1411,1871,3,1,b,1411,1,4,29,85,0,FALSE,NA,NA,0
2210,100,FALSE,0,NA,2,TRUE,1563,1571,3,1,b,2974,2,9,27,54,3,FALSE,NA,NA,0
2216,100,FALSE,1,NA,2,TRUE,1572,1871,10,1,b,2983,2,15,29,88,3,FALSE,NA,NA,0
2211,100,FALSE,1,NA,2,TRUE,1564,1871,7,1,b,2975,2,14,27,67,1,FALSE,NA,NA,0
2214,100,FALSE,1,NA,2,TRUE,1569,1871,8,1,b,2980,2,17,28,70,1,FALSE,NA,NA,0
2212,100,FALSE,1,NA,2,TRUE,1567,1871,4,1,b,2978,2,10,24,69,0,FALSE,NA,NA,0
2213,100,FALSE,1,NA,2,TRUE,1568,1871,9,1,b,2979,2,12,15,80,0,FALSE,NA,NA,0
2215,100,FALSE,1,NA,2,TRUE,1571,1871,12,1,b,2982,2,11,23,68,0,FALSE,NA,NA,0
2217,100,FALSE,1,NA,2,TRUE,1573,1871,6,1,b,2984,2,16,24,70,0,FALSE,NA,NA,0
3887,100,FALSE,1,NA,2,TRUE,2272,1871,7,1,b,5256,3,23,30,76,15,FALSE,NA,NA,0
3886,100,FALSE,1,NA,2,TRUE,2271,1871,4,1,b,5255,3,27,34,89,14,FALSE,NA,NA,0
3882,100,FALSE,1,NA,2,TRUE,2266,1871,5,1,b,5250,3,18,33,81,5,FALSE,NA,NA,0
3880,100,FALSE,1,NA,2,TRUE,2263,1871,6,1,b,5247,3,21,22,74,1,FALSE,NA,NA,0
3883,100,FALSE,1,NA,2,TRUE,2267,1871,10,1,b,5251,3,22,23,55,0,FALSE,NA,NA,0
