"id","creation_time","property1","property2","property3","property4","property5","failed","time_of_death","details","type","origin_id","network_id","contents"
1,"2019-03-25 14:21:28.869076",,,,,,FALSE,,"{}","info",1,1,"{""question"": ""What is the capital city of France?"", ""number"": ""practice 1"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Barcelona"", ""Rwer"": ""Paris"", ""pic"": false}"
2,"2019-03-25 14:21:34.59811","{""number"":""practice 1"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",5,1,"Barcelona"
3,"2019-03-25 14:21:40.992866","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",4,1,"Paris"
4,"2019-03-25 14:21:45.360177","{""number"":""practice 1"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":false}",,,,,FALSE,,"{}","lotty_info",3,1,"Barcelona"
5,"2019-03-25 14:21:45.414903",,,,,,FALSE,,"{}","info",1,1,"{""question"": ""How much does an average chimpanzee weigh?"", ""number"": ""practice 2"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""500kg"", ""Rwer"": ""50kg"", ""pic"": false}"
6,"2019-03-25 14:22:01.301469","{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":false}",,,,,FALSE,,"{}","lotty_info",4,1,"500kg"
7,"2019-03-25 14:22:01.335783","{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":false}",,,,,FALSE,,"{}","lotty_info",5,1,"500kg"
8,"2019-03-25 14:22:01.564637","{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":false}",,,,,FALSE,,"{}","lotty_info",3,1,"500kg"
9,"2019-03-25 14:22:01.613325",,,,,,FALSE,,"{}","info",1,1,"{""question"": ""\""Pepino\"" means \""cucumber\"" in which language?"", ""number"": ""practice 3"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Italian"", ""Rwer"": ""Spanish"", ""pic"": false}"
10,"2019-03-25 14:22:17.460319","{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":false}",,,,,FALSE,,"{}","lotty_info",4,1,"Italian"
