id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,27:13.8,,,,,,f,,{},info,1,1,"{""question"": ""What is the capital city of France?"", ""number"": ""practice 1"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Barcelona"", ""Rwer"": ""Paris"", ""pic"": false}"
2,27:18.7,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,10,1,Paris
3,27:19.6,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,4,1,Paris
4,27:19.8,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,9,1,Paris
5,27:21.2,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,7,1,Paris
6,27:23.3,"{""number"":""practice 1"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,8,1,Barcelona
7,27:23.4,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,12,1,Paris
8,27:24.6,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,t,50:02.4,{},lotty_info,11,1,Paris
9,27:27.7,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,6,1,Paris
10,27:27.7,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,3,1,Paris
11,27:27.9,,,,,,f,,{},info,1,1,"{""question"": ""How much does an average chimpanzee weigh?"", ""number"": ""practice 2"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""500kg"", ""Rwer"": ""50kg"", ""pic"": false}"
12,27:31.2,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,t,50:02.4,{},lotty_info,11,1,50kg
13,27:31.9,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,4,1,50kg
14,27:32.2,"{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,7,1,500kg
15,27:32.4,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,3,1,50kg
16,27:33.0,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,12,1,50kg
17,27:33.8,"{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,6,1,500kg
18,27:35.7,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,10,1,50kg
19,27:35.8,"{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,t,27:40.2,{},lotty_info,9,1,Ask Someone Else
20,27:40.0,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,8,1,50kg
21,27:40.2,,,,,,f,,{},info,1,1,Good Luck
22,27:45.6,"{""number"":""practice 2"",""copying"":true,""score"":0,""info_chosen"":""Total Score in Round 1"",""round"":0,""human"":true}",,,,,t,27:45.6,{},lotty_info,9,1,12
23,27:45.6,"{""number"": ""practice 2"", ""copying"": true, ""score"": 1, ""info_chosen"": ""Total Score in Round 1"", ""round"": 0, ""human"": true}",,,,,f,,{},lotty_info,9,1,50kg
24,27:45.8,,,,,,f,,{},info,1,1,"{""question"": ""\""Pepino\"" means \""cucumber\"" in which language?"", ""number"": ""practice 3"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Italian"", ""Rwer"": ""Spanish"", ""pic"": false}"
25,27:49.7,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,t,50:02.4,{},lotty_info,11,1,Italian
26,27:51.0,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,3,1,Italian
27,27:51.1,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,6,1,Italian
28,27:52.1,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,7,1,Italian
29,27:52.9,"{""number"":""practice 3"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,12,1,Spanish
30,27:53.3,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,4,1,Italian
31,27:53.9,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,t,27:57.8,{},lotty_info,9,1,Ask Someone Else
32,27:56.4,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,t,27:57.9,{},lotty_info,10,1,Ask Someone Else
33,27:57.6,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,f,,{},lotty_info,8,1,Italian
34,27:57.8,,,,,,f,,{},info,1,1,Good Luck
