"id","creation_time","property1","property2","property3","property4","property5","failed","time_of_death","details","type","origin_id","network_id","contents"
1,"2019-06-26 15:42:33.833988",,,,,,FALSE,,"{}","info",1,1,"{""question"": ""What is the capital city of France?"", ""number"": ""practice 1"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Barcelona"", ""Rwer"": ""Paris"", ""pic"": false}"
2,"2019-06-26 15:42:37.23129","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",15,1,"Paris"
3,"2019-06-26 15:42:38.843943","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",19,1,"Paris"
4,"2019-06-26 15:42:38.92199","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",18,1,"Paris"
5,"2019-06-26 15:42:39.264415","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",14,1,"Paris"
6,"2019-06-26 15:42:39.855119","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",20,1,"Paris"
7,"2019-06-26 15:42:39.98553","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",17,1,"Paris"
8,"2019-06-26 15:42:40.003415","{""number"":""practice 1"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",16,1,"Barcelona"
9,"2019-06-26 15:42:41.703607","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",13,1,"Paris"
10,"2019-06-26 15:42:44.623338","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",12,1,"Paris"
11,"2019-06-26 15:42:50.060181","{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true}",,,,,FALSE,,"{}","lotty_info",11,1,"Paris"
12,"2019-06-26 15:42:50.246912",,,,,,FALSE,,"{}","info",1,1,"{""question"": ""How much does an average chimpanzee weigh?"", ""number"": ""practice 2"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""500kg"", ""Rwer"": ""50kg"", ""pic"": false}"
